probe_id,gene_symbol,gene_name,entrez_id,ensembl_id
ILMN_1698220,PHTF2,"Homo sapiens putative homeodomain transcription factor 2 (PHTF2), mRNA.",,
ILMN_1810835,SPRR3,"Homo sapiens small proline-rich protein 3 (SPRR3), mRNA.",,
ILMN_1782944,GPR37L1,"Homo sapiens G protein-coupled receptor 37 like 1 (GPR37L1), mRNA.",,
ILMN_1692858,FBXO25,"Homo sapiens F-box protein 25 (FBXO25), transcript variant 3, mRNA.",,
ILMN_1668162,DGAT2L3,"Homo sapiens diacylglycerol O-acyltransferase 2-like 3 (DGAT2L3), mRNA.",,
ILMN_1682799,STAMBPL1,"Homo sapiens STAM binding protein-like 1 (STAMBPL1), mRNA.",,
ILMN_1696317,CACNA2D4,"Homo sapiens calcium channel, voltage-dependent, alpha 2/delta subunit 4 (CACNA2D4), transcript variant 3, mRNA.",,
ILMN_1669181,ACOX1,"Homo sapiens acyl-Coenzyme A oxidase 1, palmitoyl (ACOX1), transcript variant 1, mRNA.",,
ILMN_1665311,STH,"Homo sapiens saitohin (STH), mRNA.",,
ILMN_1734631,CLYBL,"Homo sapiens citrate lyase beta like (CLYBL), transcript variant 1, mRNA.",,
ILMN_1711453,CLEC12A,"Homo sapiens C-type lectin domain family 12, member A (CLEC12A), transcript variant 3, mRNA.",,
ILMN_1784717,RPS19,"Homo sapiens ribosomal protein S19 (RPS19), mRNA.",,
ILMN_1702928,FBXO9,"Homo sapiens F-box protein 9 (FBXO9), transcript variant 1, mRNA.",,
ILMN_1667120,FBXO9,"Homo sapiens F-box protein 9 (FBXO9), transcript variant 1, mRNA.",,
ILMN_1761911,SCYL1BP1,"Homo sapiens SCY1-like 1 binding protein 1 (SCYL1BP1), mRNA.",,
ILMN_1706784,H2AFV,"Homo sapiens H2A histone family, member V (H2AFV), transcript variant 2, mRNA.",,
ILMN_1751493,NPFFR2,"Homo sapiens neuropeptide FF receptor 2 (NPFFR2), transcript variant 1, mRNA.",,
ILMN_1815346,TMEM136,"Homo sapiens transmembrane protein 136 (TMEM136), mRNA.",,
ILMN_1774687,PRKAG1,"Homo sapiens protein kinase, AMP-activated, gamma 1 non-catalytic subunit (PRKAG1), transcript variant 1, mRNA.",,
ILMN_1764927,CDC42EP1,"Homo sapiens CDC42 effector protein (Rho GTPase binding) 1 (CDC42EP1), transcript variant 1, mRNA.",,
ILMN_1776347,TCP1,"Homo sapiens t-complex 1 (TCP1), transcript variant 1, mRNA.",,
ILMN_1660661,TCP1,"Homo sapiens t-complex 1 (TCP1), transcript variant 1, mRNA.",,
ILMN_1692844,TBC1D19,"Homo sapiens TBC1 domain family, member 19 (TBC1D19), mRNA.",,
ILMN_1674057,UNQ5830,"Homo sapiens AILT5830 (UNQ5830), mRNA.",,
ILMN_1769158,ISOC2,"Homo sapiens isochorismatase domain containing 2 (ISOC2), mRNA.",,
ILMN_1731506,PAX9,"Homo sapiens paired box gene 9 (PAX9), mRNA.",,
ILMN_1685237,FLJ20718,"Homo sapiens hypothetical protein FLJ20718 (FLJ20718), transcript variant 1, mRNA.",,
ILMN_1714905,LOC644563,"PREDICTED: Homo sapiens hypothetical LOC644563 (LOC644563), mRNA.",,
ILMN_1696682,ABLIM1,"Homo sapiens actin binding LIM protein 1 (ABLIM1), transcript variant 1, mRNA.",,
ILMN_1797082,SNX13,"Homo sapiens sorting nexin 13 (SNX13), mRNA.",,
ILMN_1684031,MYO1A,"Homo sapiens myosin IA (MYO1A), mRNA.",,
ILMN_1693210,NSMCE2,"Homo sapiens non-SMC element 2, MMS21 homolog (S. cerevisiae) (NSMCE2), mRNA.",,
ILMN_1651800,GSTM4,"Homo sapiens glutathione S-transferase M4 (GSTM4), transcript variant 2, mRNA.",,
ILMN_1804569,GAS2,"Homo sapiens growth arrest-specific 2 (GAS2), transcript variant 2, mRNA.",,
ILMN_1652852,GAS2,"Homo sapiens growth arrest-specific 2 (GAS2), transcript variant 2, mRNA.",,
ILMN_1668285,APBA1,"Homo sapiens amyloid beta (A4) precursor protein-binding, family A, member 1 (X11) (APBA1), mRNA.",,
ILMN_1786275,PAPOLG,"Homo sapiens poly(A) polymerase gamma (PAPOLG), mRNA.",,
