sample_id,title,geo_accession,status,submission_date,last_update_date,type,channel_count,source_name_ch1,organism_ch1,taxid_ch1,characteristics_ch1,molecule_ch1,extract_protocol_ch1,label_ch1,label_protocol_ch1,hyb_protocol,scan_protocol,description,data_processing,platform_id,contact_name,contact_department,contact_institute,contact_address,contact_city,contact_zip/postal_code,contact_country,supplementary_file,series_id,data_row_count,treatment_protocol_ch1,growth_protocol_ch1
GSM2387649,3998386026_A,GSM2387649,Public on Jul 03 2017,Nov 10 2016,Jul 03 2017,RNA,1,tumor,Homo sapiens,9606,tissue: bile duct,total RNA,"RNA was extracted from tumor tissue using RNeasy mini kit (Qiagen), quantified by measuring Abs260 with a UV spectrophotometer and the quality was assessed with the Agilent 2100 Bioanalyzer",biotin,Biotin-labeled cRNA were prepared using the Illumina TotalPrep RNA Amplification Kit (Ambion Inc.) from 250ng-500ng of total RNA,"750ng of biotin-labeled cRNA were hybridized on the Illumina HT-12 version 4 beadchip according to Manufacturerâ€™s instruction (Illumina, Inc., San Diego, CA)","Beadchips were washed and stained according to Manufacturerâ€™s instruction and scanned using Illumina BeadArray Reader (Illumina, Inc., San Diego, CA)",cholangiocarcinoma,"GenomeStudio v2011.1 + Gene Expression v1.9.0 (raw - noNormalization and noBackground, normalized - Quantile normalization and noBackground)",GPL10558,"Jing Quan,,Lim",CMR,National Cancer Centre Singapore,30 Hospital Boulevard,Singapore,168583,Singapore,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2387nnn/GSM2387649/suppl/GSM2387649_3998386026_A_Grn.idat.gz,GSE89747 | GSE89749,47274,,
GSM2387650,3998386026_B,GSM2387650,Public on Jul 03 2017,Nov 10 2016,Jul 03 2017,RNA,1,tumor,Homo sapiens,9606,tissue: bile duct,total RNA,"RNA was extracted from tumor tissue using RNeasy mini kit (Qiagen), quantified by measuring Abs260 with a UV spectrophotometer and the quality was assessed with the Agilent 2100 Bioanalyzer",biotin,Biotin-labeled cRNA were prepared using the Illumina TotalPrep RNA Amplification Kit (Ambion Inc.) from 250ng-500ng of total RNA,"750ng of biotin-labeled cRNA were hybridized on the Illumina HT-12 version 4 beadchip according to Manufacturerâ€™s instruction (Illumina, Inc., San Diego, CA)","Beadchips were washed and stained according to Manufacturerâ€™s instruction and scanned using Illumina BeadArray Reader (Illumina, Inc., San Diego, CA)",cholangiocarcinoma,"GenomeStudio v2011.1 + Gene Expression v1.9.0 (raw - noNormalization and noBackground, normalized - Quantile normalization and noBackground)",GPL10558,"Jing Quan,,Lim",CMR,National Cancer Centre Singapore,30 Hospital Boulevard,Singapore,168583,Singapore,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2387nnn/GSM2387650/suppl/GSM2387650_3998386026_B_Grn.idat.gz,GSE89747 | GSE89749,47274,,
GSM2387651,3998386026_C,GSM2387651,Public on Jul 03 2017,Nov 10 2016,Jul 03 2017,RNA,1,tumor,Homo sapiens,9606,tissue: bile duct,total RNA,"RNA was extracted from tumor tissue using RNeasy mini kit (Qiagen), quantified by measuring Abs260 with a UV spectrophotometer and the quality was assessed with the Agilent 2100 Bioanalyzer",biotin,Biotin-labeled cRNA were prepared using the Illumina TotalPrep RNA Amplification Kit (Ambion Inc.) from 250ng-500ng of total RNA,"750ng of biotin-labeled cRNA were hybridized on the Illumina HT-12 version 4 beadchip according to Manufacturerâ€™s instruction (Illumina, Inc., San Diego, CA)","Beadchips were washed and stained according to Manufacturerâ€™s instruction and scanned using Illumina BeadArray Reader (Illumina, Inc., San Diego, CA)",cholangiocarcinoma,"GenomeStudio v2011.1 + Gene Expression v1.9.0 (raw - noNormalization and noBackground, normalized - Quantile normalization and noBackground)",GPL10558,"Jing Quan,,Lim",CMR,National Cancer Centre Singapore,30 Hospital Boulevard,Singapore,168583,Singapore,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2387nnn/GSM2387651/suppl/GSM2387651_3998386026_C_Grn.idat.gz,GSE89747 | GSE89749,47274,,
GSM2387652,3998386026_D,GSM2387652,Public on Jul 03 2017,Nov 10 2016,Jul 03 2017,RNA,1,tumor,Homo sapiens,9606,tissue: bile duct,total RNA,"RNA was extracted from tumor tissue using RNeasy mini kit (Qiagen), quantified by measuring Abs260 with a UV spectrophotometer and the quality was assessed with the Agilent 2100 Bioanalyzer",biotin,Biotin-labeled cRNA were prepared using the Illumina TotalPrep RNA Amplification Kit (Ambion Inc.) from 250ng-500ng of total RNA,"750ng of biotin-labeled cRNA were hybridized on the Illumina HT-12 version 4 beadchip according to Manufacturerâ€™s instruction (Illumina, Inc., San Diego, CA)","Beadchips were washed and stained according to Manufacturerâ€™s instruction and scanned using Illumina BeadArray Reader (Illumina, Inc., San Diego, CA)",cholangiocarcinoma,"GenomeStudio v2011.1 + Gene Expression v1.9.0 (raw - noNormalization and noBackground, normalized - Quantile normalization and noBackground)",GPL10558,"Jing Quan,,Lim",CMR,National Cancer Centre Singapore,30 Hospital Boulevard,Singapore,168583,Singapore,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2387nnn/GSM2387652/suppl/GSM2387652_3998386026_D_Grn.idat.gz,GSE89747 | GSE89749,47274,,
GSM2387653,3998386026_E,GSM2387653,Public on Jul 03 2017,Nov 10 2016,Jul 03 2017,RNA,1,tumor,Homo sapiens,9606,tissue: bile duct,total RNA,"RNA was extracted from tumor tissue using RNeasy mini kit (Qiagen), quantified by measuring Abs260 with a UV spectrophotometer and the quality was assessed with the Agilent 2100 Bioanalyzer",biotin,Biotin-labeled cRNA were prepared using the Illumina TotalPrep RNA Amplification Kit (Ambion Inc.) from 250ng-500ng of total RNA,"750ng of biotin-labeled cRNA were hybridized on the Illumina HT-12 version 4 beadchip according to Manufacturerâ€™s instruction (Illumina, Inc., San Diego, CA)","Beadchips were washed and stained according to Manufacturerâ€™s instruction and scanned using Illumina BeadArray Reader (Illumina, Inc., San Diego, CA)",cholangiocarcinoma,"GenomeStudio v2011.1 + Gene Expression v1.9.0 (raw - noNormalization and noBackground, normalized - Quantile normalization and noBackground)",GPL10558,"Jing Quan,,Lim",CMR,National Cancer Centre Singapore,30 Hospital Boulevard,Singapore,168583,Singapore,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2387nnn/GSM2387653/suppl/GSM2387653_3998386026_E_Grn.idat.gz,GSE89747 | GSE89749,47274,,
GSM2387654,3998386026_F,GSM2387654,Public on Jul 03 2017,Nov 10 2016,Jul 03 2017,RNA,1,tumor,Homo sapiens,9606,tissue: bile duct,total RNA,"RNA was extracted from tumor tissue using RNeasy mini kit (Qiagen), quantified by measuring Abs260 with a UV spectrophotometer and the quality was assessed with the Agilent 2100 Bioanalyzer",biotin,Biotin-labeled cRNA were prepared using the Illumina TotalPrep RNA Amplification Kit (Ambion Inc.) from 250ng-500ng of total RNA,"750ng of biotin-labeled cRNA were hybridized on the Illumina HT-12 version 4 beadchip according to Manufacturerâ€™s instruction (Illumina, Inc., San Diego, CA)","Beadchips were washed and stained according to Manufacturerâ€™s instruction and scanned using Illumina BeadArray Reader (Illumina, Inc., San Diego, CA)",cholangiocarcinoma,"GenomeStudio v2011.1 + Gene Expression v1.9.0 (raw - noNormalization and noBackground, normalized - Quantile normalization and noBackground)",GPL10558,"Jing Quan,,Lim",CMR,National Cancer Centre Singapore,30 Hospital Boulevard,Singapore,168583,Singapore,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2387nnn/GSM2387654/suppl/GSM2387654_3998386026_F_Grn.idat.gz,GSE89747 | GSE89749,47274,,
GSM2387655,3998386026_G,GSM2387655,Public on Jul 03 2017,Nov 10 2016,Jul 03 2017,RNA,1,tumor,Homo sapiens,9606,tissue: bile duct,total RNA,"RNA was extracted from tumor tissue using RNeasy mini kit (Qiagen), quantified by measuring Abs260 with a UV spectrophotometer and the quality was assessed with the Agilent 2100 Bioanalyzer",biotin,Biotin-labeled cRNA were prepared using the Illumina TotalPrep RNA Amplification Kit (Ambion Inc.) from 250ng-500ng of total RNA,"750ng of biotin-labeled cRNA were hybridized on the Illumina HT-12 version 4 beadchip according to Manufacturerâ€™s instruction (Illumina, Inc., San Diego, CA)","Beadchips were washed and stained according to Manufacturerâ€™s instruction and scanned using Illumina BeadArray Reader (Illumina, Inc., San Diego, CA)",cholangiocarcinoma,"GenomeStudio v2011.1 + Gene Expression v1.9.0 (raw - noNormalization and noBackground, normalized - Quantile normalization and noBackground)",GPL10558,"Jing Quan,,Lim",CMR,National Cancer Centre Singapore,30 Hospital Boulevard,Singapore,168583,Singapore,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2387nnn/GSM2387655/suppl/GSM2387655_3998386026_G_Grn.idat.gz,GSE89747 | GSE89749,47274,,
GSM2387656,3998386026_H,GSM2387656,Public on Jul 03 2017,Nov 10 2016,Jul 03 2017,RNA,1,tumor,Homo sapiens,9606,tissue: bile duct,total RNA,"RNA was extracted from tumor tissue using RNeasy mini kit (Qiagen), quantified by measuring Abs260 with a UV spectrophotometer and the quality was assessed with the Agilent 2100 Bioanalyzer",biotin,Biotin-labeled cRNA were prepared using the Illumina TotalPrep RNA Amplification Kit (Ambion Inc.) from 250ng-500ng of total RNA,"750ng of biotin-labeled cRNA were hybridized on the Illumina HT-12 version 4 beadchip according to Manufacturerâ€™s instruction (Illumina, Inc., San Diego, CA)","Beadchips were washed and stained according to Manufacturerâ€™s instruction and scanned using Illumina BeadArray Reader (Illumina, Inc., San Diego, CA)",cholangiocarcinoma,"GenomeStudio v2011.1 + Gene Expression v1.9.0 (raw - noNormalization and noBackground, normalized - Quantile normalization and noBackground)",GPL10558,"Jing Quan,,Lim",CMR,National Cancer Centre Singapore,30 Hospital Boulevard,Singapore,168583,Singapore,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2387nnn/GSM2387656/suppl/GSM2387656_3998386026_H_Grn.idat.gz,GSE89747 | GSE89749,47274,,
GSM2387657,3998386026_I,GSM2387657,Public on Jul 03 2017,Nov 10 2016,Jul 03 2017,RNA,1,tumor,Homo sapiens,9606,tissue: bile duct,total RNA,"RNA was extracted from tumor tissue using RNeasy mini kit (Qiagen), quantified by measuring Abs260 with a UV spectrophotometer and the quality was assessed with the Agilent 2100 Bioanalyzer",biotin,Biotin-labeled cRNA were prepared using the Illumina TotalPrep RNA Amplification Kit (Ambion Inc.) from 250ng-500ng of total RNA,"750ng of biotin-labeled cRNA were hybridized on the Illumina HT-12 version 4 beadchip according to Manufacturerâ€™s instruction (Illumina, Inc., San Diego, CA)","Beadchips were washed and stained according to Manufacturerâ€™s instruction and scanned using Illumina BeadArray Reader (Illumina, Inc., San Diego, CA)",cholangiocarcinoma,"GenomeStudio v2011.1 + Gene Expression v1.9.0 (raw - noNormalization and noBackground, normalized - Quantile normalization and noBackground)",GPL10558,"Jing Quan,,Lim",CMR,National Cancer Centre Singapore,30 Hospital Boulevard,Singapore,168583,Singapore,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2387nnn/GSM2387657/suppl/GSM2387657_3998386026_I_Grn.idat.gz,GSE89747 | GSE89749,47274,,
GSM2387658,3998386026_J,GSM2387658,Public on Jul 03 2017,Nov 10 2016,Jul 03 2017,RNA,1,tumor,Homo sapiens,9606,tissue: bile duct,total RNA,"RNA was extracted from tumor tissue using RNeasy mini kit (Qiagen), quantified by measuring Abs260 with a UV spectrophotometer and the quality was assessed with the Agilent 2100 Bioanalyzer",biotin,Biotin-labeled cRNA were prepared using the Illumina TotalPrep RNA Amplification Kit (Ambion Inc.) from 250ng-500ng of total RNA,"750ng of biotin-labeled cRNA were hybridized on the Illumina HT-12 version 4 beadchip according to Manufacturerâ€™s instruction (Illumina, Inc., San Diego, CA)","Beadchips were washed and stained according to Manufacturerâ€™s instruction and scanned using Illumina BeadArray Reader (Illumina, Inc., San Diego, CA)",cholangiocarcinoma,"GenomeStudio v2011.1 + Gene Expression v1.9.0 (raw - noNormalization and noBackground, normalized - Quantile normalization and noBackground)",GPL10558,"Jing Quan,,Lim",CMR,National Cancer Centre Singapore,30 Hospital Boulevard,Singapore,168583,Singapore,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2387nnn/GSM2387658/suppl/GSM2387658_3998386026_J_Grn.idat.gz,GSE89747 | GSE89749,47274,,
