gene_id,gene_name,log2FC,pvalue,padj
ENSG00000000003.15,TSPAN6,0.05870815032788467,0.17146901977841633,0.19256130996532753
ENSG00000000419.13,DPM1,0.2979233877063515,5.653983258165504e-06,3.160975755924711e-05
ENSG00000000457.14,SCYL3,0.5311948574771338,9.754310836282884e-06,3.710233721037935e-05
ENSG00000000460.17,C1orf112,1.1181489882457551,1.1156404877585864e-05,3.9848099034819627e-05
ENSG00000000938.13,FGR,0.21590928383656602,0.20047071936651917,0.22310339049868147
ENSG00000000971.16,CFH,-0.60647999086868,1.4558655927266644e-05,4.6771917321317224e-05
ENSG00000001036.14,FUCA2,0.22707051224865638,6.716440352919843e-05,0.00014301999785964773
ENSG00000001084.13,GCLC,-0.3264436771246174,7.589129583173793e-05,0.00015839438668908376
ENSG00000001167.14,NFYA,0.5456360532576147,5.653983258165504e-06,3.160975755924711e-05
ENSG00000001460.18,STPG1,1.1641601744976233,4.923346619580148e-06,3.160975755924711e-05
ENSG00000001461.17,NIPAL3,0.925133502366026,4.923346619580148e-06,3.160975755924711e-05
ENSG00000001497.18,LAS1L,0.36160897330846103,4.923346619580148e-06,3.160975755924711e-05
ENSG00000001561.7,ENPP4,0.48631869033152775,6.716440352919843e-05,0.00014301999785964773
ENSG00000001617.12,SEMA3F,0.6404219106845297,1.2749674921097057e-05,4.322591369255136e-05
ENSG00000001626.16,CFTR,1.082247783280079,0.0022502265680857964,0.003258584179804943
ENSG00000001629.10,ANKIB1,0.5599097461938918,7.438444546235193e-06,3.278366184709261e-05
ENSG00000001630.17,CYP51A1,-0.26117867937837047,0.2948939838180872,0.3209774116218063
ENSG00000001631.16,KRIT1,0.5967626467127541,5.653983258165504e-06,3.160975755924711e-05
ENSG00000002016.18,RAD52,0.8155216080640867,4.923346619580148e-06,3.160975755924711e-05
ENSG00000002079.14,MYH16,3.52033803640306,1.4518259183207396e-05,4.6771917321317224e-05
ENSG00000002330.14,BAD,0.4749344272362931,4.087163290018837e-05,9.64851906904961e-05
ENSG00000002549.12,LAP3,-0.01382519570841341,0.5803875928992859,0.6056417359683368
ENSG00000002586.20,CD99,0.055261973558861595,0.2816851101529303,0.307388500673822
ENSG00000002587.10,HS3ST1,2.0327894324253757,7.438444546235193e-06,3.278366184709261e-05
ENSG00000002726.21,AOC1,-0.6953920712522493,0.21089219389176395,0.23408762960600168
ENSG00000002746.15,HECW1,1.2888609234549337,0.07592450107576011,0.08907022955406643
ENSG00000002822.15,MAD1L1,0.7967622168491983,0.09722546840868444,0.11276550202904648
ENSG00000002834.18,LASP1,0.34415531936431465,5.653983258165504e-06,3.160975755924711e-05
ENSG00000002919.15,SNX11,0.5174817561709091,5.653983258165504e-06,3.160975755924711e-05
ENSG00000002933.9,TMEM176A,-0.5428209436585528,4.923346619580148e-06,3.160975755924711e-05
ENSG00000003056.8,M6PR,0.43248775614213586,5.939309412033619e-05,0.0001290617902083619
ENSG00000003096.14,KLHL13,0.05221742565189955,0.8159433103222693,0.8304893337722025
ENSG00000003137.8,CYP26B1,1.7250535336107562,0.0010096772950792647,0.00155886690135951
ENSG00000003147.19,ICA1,0.9043149356629377,1.6610814859945465e-05,5.0122103323202315e-05
ENSG00000003249.15,DBNDD1,1.0734383292291616,9.754310836282884e-06,3.710233721037935e-05
ENSG00000003393.15,ALS2,0.16475541272494387,0.0036192416290067725,0.005071943710721863
ENSG00000003400.15,CASP10,0.4375819762608319,1.4558655927266644e-05,4.6771917321317224e-05
ENSG00000003402.20,CFLAR,0.31667849472506115,5.653983258165504e-06,3.160975755924711e-05
ENSG00000003436.16,TFPI,-0.4789791976371711,0.0004803411999818705,0.0007959100834997184
ENSG00000003509.16,NDUFAF7,0.29325611948580493,2.4551975486463744e-05,6.567142551343661e-05
ENSG00000003756.17,RBM5,0.30512875280377666,2.1571152655117314e-05,5.998060308737503e-05
ENSG00000003987.14,MTMR7,0.42099555690957685,0.005219118891795875,0.007147018900039459
ENSG00000003989.18,SLC7A2,-0.908846460560836,4.923346619580148e-06,3.160975755924711e-05
ENSG00000004059.11,ARF5,0.365865814013169,4.923346619580148e-06,3.160975755924711e-05
ENSG00000004139.14,SARM1,1.1581032291254776,1.6610814859945465e-05,5.0122103323202315e-05
ENSG00000004142.12,POLDIP2,0.03712985844162084,0.025066890188381347,0.031272791014787776
ENSG00000004399.13,PLXND1,0.414269530482191,4.633162692786604e-05,0.00010620910503845374
ENSG00000004455.17,AK2,0.08184448012626287,0.06679806847513828,0.07884471352441157
ENSG00000004468.13,CD38,-0.04406667527881369,0.4849913194671678,0.5120326527157244
ENSG00000004478.8,FKBP4,0.3591798629367572,1.6610814859945465e-05,5.0122103323202315e-05
ENSG00000004487.17,KDM1A,0.36826069999595457,4.923346619580148e-06,3.160975755924711e-05
ENSG00000004534.15,RBM6,0.32822179542708657,2.4551975486463744e-05,6.567142551343661e-05
ENSG00000004660.15,CAMKK1,1.3320420755579427,1.893687182848988e-05,5.470462717116732e-05
ENSG00000004700.16,RECQL,0.7220851079515334,0.00015529639334041596,0.0002924319745682786
ENSG00000004766.17,VPS50,0.5668028539570552,5.653983258165504e-06,3.160975755924711e-05
ENSG00000004776.13,HSPB6,0.01260558359413662,0.8159433103222693,0.8304893337722025
ENSG00000004777.18,ARHGAP33,1.1824917869271163,4.923346619580148e-06,3.160975755924711e-05
ENSG00000004779.10,NDUFAB1,0.1308628970440154,0.00038570307967344703,0.0006534903048319794
ENSG00000004799.8,PDK4,-0.631390126383853,0.0001227165293542135,0.00023830355039908776
ENSG00000004838.14,ZMYND10,2.916081652340645,6.487763976485615e-06,3.160975755924711e-05
ENSG00000004846.16,ABCB5,3.773546168074668,0.0001959834446374219,0.0003580482081636324
ENSG00000004864.14,SLC25A13,-0.38588277484859673,4.923346619580148e-06,3.160975755924711e-05
ENSG00000004866.22,ST7,-0.12491543307714853,0.0008198413370793549,0.0012881421301669405
ENSG00000004897.12,CDC27,0.32393714434323084,7.438444546235193e-06,3.278366184709261e-05
ENSG00000004961.15,HCCS,0.32257412080452796,1.6610814859945465e-05,5.0122103323202315e-05
ENSG00000004975.12,DVL2,0.7273290382701985,4.923346619580148e-06,3.160975755924711e-05
ENSG00000005001.10,PRSS22,2.418939853094438,3.172906179491215e-05,7.930502723072764e-05
ENSG00000005007.13,UPF1,0.2711426215238816,4.923346619580148e-06,3.160975755924711e-05
ENSG00000005020.13,SKAP2,0.7114710578756918,1.893687182848988e-05,5.470462717116732e-05
ENSG00000005022.6,SLC25A5,0.13523946638658813,0.0007378796967199241,0.0011718867394602298
ENSG00000005059.16,MCUB,1.4812551069959015,2.79220742336459e-05,7.209676995935084e-05
ENSG00000005075.15,POLR2J,0.25572951584303555,1.6610814859945465e-05,5.0122103323202315e-05
ENSG00000005100.13,DHX33,0.43674656560703534,9.754310836282884e-06,3.710233721037935e-05
ENSG00000005102.14,MEOX1,2.558574255912463,4.633162692786604e-05,0.00010620910503845374
ENSG00000005108.16,THSD7A,0.3905819644477822,0.16253554591032704,0.183196568055557
ENSG00000005156.12,LIG3,0.5674701264789644,4.923346619580148e-06,3.160975755924711e-05
ENSG00000005175.10,RPAP3,0.4438735619545832,4.923346619580148e-06,3.160975755924711e-05
ENSG00000005187.12,ACSM3,-0.37568363645340735,0.0022502265680857964,0.003258584179804943
ENSG00000005189.20,REXO5,0.827517571468756,2.4551975486463744e-05,6.567142551343661e-05
ENSG00000005194.15,CIAPIN1,0.5586236038920415,4.923346619580148e-06,3.160975755924711e-05
ENSG00000005206.17,SPPL2B,0.5321252309243174,4.923346619580148e-06,3.160975755924711e-05
ENSG00000005238.20,FAM214B,0.6965172726169979,4.923346619580148e-06,3.160975755924711e-05
ENSG00000005243.10,COPZ2,-0.4177489305983053,0.0005962933578431095,0.0009670958244182228
ENSG00000005249.13,PRKAR2B,0.14415264907890502,0.8159433103222693,0.8304893337722025
ENSG00000005302.19,MSL3,0.548096962008491,4.923346619580148e-06,3.160975755924711e-05
ENSG00000005339.15,CREBBP,0.29544769007365257,7.438444546235193e-06,3.278366184709261e-05
ENSG00000005379.17,TSPOAP1,0.8156000698955417,0.00030872214787395705,0.0005350311800019002
ENSG00000005381.8,MPO,-0.14475969939124245,0.29487696880545755,0.3209774116218063
ENSG00000005421.9,PON1,-1.5773039381618554,4.923346619580148e-06,3.160975755924711e-05
ENSG00000005436.14,GCFC2,0.15275381226438334,0.003296263963044378,0.004648577383780533
ENSG00000005448.17,WDR54,1.6377777465475,7.438444546235193e-06,3.278366184709261e-05
ENSG00000005469.12,CROT,-0.1452813083928326,0.025066890188381347,0.031272791014787776
ENSG00000005471.19,ABCB4,-1.716461806640493,1.1156404877585864e-05,3.9848099034819627e-05
ENSG00000005483.21,KMT2E,0.5096341498195224,6.487763976485615e-06,3.160975755924711e-05
ENSG00000005486.17,RHBDD2,0.28186306742361317,6.487763976485615e-06,3.160975755924711e-05
ENSG00000005513.10,SOX8,2.6842517940518946,3.6025936188533524e-05,8.741273158893988e-05
ENSG00000005700.15,IBTK,0.0008869942241970676,0.9304432630047476,0.9365635046219705
ENSG00000005801.18,ZNF195,0.7858766808027818,4.923346619580148e-06,3.160975755924711e-05
ENSG00000005810.18,MYCBP2,0.2288544708661977,0.003296263963044378,0.004648577383780533
ENSG00000005812.11,FBXL3,0.07769567552710838,0.06258533243143061,0.07413675898078102
ENSG00000005844.19,ITGAL,-0.16157209464089964,0.08604361569521997,0.10035001737162863
ENSG00000005882.12,PDK2,-0.076105301783645,0.16253554591032704,0.183196568055557
ENSG00000005884.18,ITGA3,1.3719750292073314,6.487763976485615e-06,3.160975755924711e-05
ENSG00000005889.16,ZFX,0.34525480116146984,0.00021975158424989314,0.00039578157627712937
ENSG00000005893.16,LAMP2,0.15575222109595344,0.00019589518055535186,0.0003580032566896287
ENSG00000005961.19,ITGA2B,2.2908741142215527,3.172906179491215e-05,7.930502723072764e-05
ENSG00000005981.13,ASB4,-1.8124563968560625,0.00010895568848677242,0.0002151095499833198
ENSG00000006007.12,GDE1,0.33562563867535866,3.6025936188533524e-05,8.741273158893988e-05
ENSG00000006015.18,REX1BD,0.18508053127575252,0.0008198413370793549,0.0012881421301669405
ENSG00000006016.11,CRLF1,1.9839637008240394,9.666007847896928e-05,0.0001940534105653203
ENSG00000006025.12,OSBPL7,1.5044162463019937,5.653983258165504e-06,3.160975755924711e-05
ENSG00000006042.12,TMEM98,0.5763946993148562,0.0005353996750440205,0.0008779571140191894
ENSG00000006047.13,YBX2,-0.10061808323203433,0.09721368217064644,0.11276550202904648
ENSG00000006062.17,MAP3K14,0.4618971139064782,0.00019589518055535186,0.0003580032566896287
ENSG00000006071.15,ABCC8,2.4491093396784978,0.01234130897665623,0.015989963450632524
ENSG00000006118.15,TMEM132A,2.3624426527955054,5.653983258165504e-06,3.160975755924711e-05
ENSG00000006125.18,AP2B1,0.4963001035913267,4.923346619580148e-06,3.160975755924711e-05
ENSG00000006194.10,ZNF263,0.5316765051548453,4.923346619580148e-06,3.160975755924711e-05
ENSG00000006210.7,CX3CL1,0.4304470761066591,0.00034521061534554284,0.0005916130422213916
ENSG00000006282.21,SPATA20,0.4914036484169748,2.4551975486463744e-05,6.567142551343661e-05
ENSG00000006283.18,CACNA1G,2.3490497259927916,0.00027532117567074756,0.00048402511937139364
ENSG00000006327.14,TNFRSF12A,0.5993753466463493,0.0002758695734812464,0.00048402511937139364
ENSG00000006377.11,DLX6,4.745229814314191,0.0005399242315287402,0.0008853120189692405
ENSG00000006432.15,MAP3K9,1.2237902789098487,4.923346619580148e-06,3.160975755924711e-05
ENSG00000006451.8,RALA,0.5430994024843325,4.923346619580148e-06,3.160975755924711e-05
ENSG00000006453.14,BAIAP2L1,0.42464322441566926,1.6610814859945465e-05,5.0122103323202315e-05
ENSG00000006459.11,KDM7A,0.00688165250185009,0.9767882503379026,0.9789642099064878
ENSG00000006468.14,ETV1,0.6879539555492878,0.0005353996750440205,0.0008779571140191894
ENSG00000006530.18,AGK,0.4200110736670971,3.172906179491215e-05,7.930502723072764e-05
ENSG00000006534.16,ALDH3B1,0.913069466906403,2.1571152655117314e-05,5.998060308737503e-05
ENSG00000006555.11,TTC22,1.0167153406639113,3.6025936188533524e-05,8.741273158893988e-05
ENSG00000006576.16,PHTF2,0.7443779038650656,4.923346619580148e-06,3.160975755924711e-05
ENSG00000006606.9,CCL26,2.705619277084553,6.712467482828386e-05,0.00014301999785964773
ENSG00000006607.14,FARP2,0.4055984508236319,2.4551975486463744e-05,6.567142551343661e-05
ENSG00000006611.17,USH1C,2.3885538539386277,1.6610814859945465e-05,5.0122103323202315e-05
ENSG00000006625.18,GGCT,0.5555373625613588,5.653983258165504e-06,3.160975755924711e-05
ENSG00000006634.8,DBF4,0.9585031621688049,5.653983258165504e-06,3.160975755924711e-05
ENSG00000006638.13,TBXA2R,-0.12787351268210193,0.3225386709347601,0.3494104215110729
ENSG00000006652.15,IFRD1,0.5686796679390137,8.521497664733923e-06,3.477704825257431e-05
ENSG00000006695.12,COX10,0.5582248636954479,6.487763976485615e-06,3.160975755924711e-05
ENSG00000006704.11,GTF2IRD1,1.051760815309084,4.087163290018837e-05,9.64851906904961e-05
ENSG00000006712.15,PAF1,0.23050401266312867,6.487763976485615e-06,3.160975755924711e-05
ENSG00000006715.16,VPS41,0.5086160529407919,5.653983258165504e-06,3.160975755924711e-05
ENSG00000006740.17,ARHGAP44,1.4674343018052587,4.923346619580148e-06,3.160975755924711e-05
ENSG00000006744.19,ELAC2,0.25922018912205774,7.438444546235193e-06,3.278366184709261e-05
ENSG00000006747.15,SCIN,3.1224841414650895,2.79220742336459e-05,7.209676995935084e-05
ENSG00000006756.16,ARSD,0.11171893740633541,0.027016825698369117,0.03356771577380908
ENSG00000006757.12,PNPLA4,0.10834145697657466,0.1457285332020404,0.16518005413584091
ENSG00000006831.10,ADIPOR2,-0.06821298574724817,0.04168008356620201,0.05046251236930647
ENSG00000006837.12,CDKL3,2.45793629962307,4.923346619580148e-06,3.160975755924711e-05
ENSG00000007001.13,UPP2,-1.7354878312392144,0.001239527800650426,0.0018803141058487648
ENSG00000007038.11,PRSS21,3.587415428469054,0.04167288763357904,0.05046251236930647
ENSG00000007047.15,MARK4,0.44794140009107125,4.923346619580148e-06,3.160975755924711e-05
ENSG00000007062.12,PROM1,1.3378546425753706,0.001371755374009526,0.002063503887812243
ENSG00000007080.11,CCDC124,0.39675394294759386,7.438444546235193e-06,3.278366184709261e-05
