gene_id,gene_name,log2FC,pvalue,padj
ENSG00000287718.1,AC009166.3,-4.548829528320559,6.427265049929918e-08,3.160975755924711e-05
ENSG00000231487.1,AP006285.1,-4.418858350522527,6.427265049929918e-08,3.160975755924711e-05
ENSG00000248359.2,AC010280.1,-4.690654038795644,1.1498344944592125e-07,3.160975755924711e-05
ENSG00000253199.2,LINC02153,-4.486300734195818,1.1498344944592125e-07,3.160975755924711e-05
ENSG00000230645.2,LINC01818,-4.754456767797897,1.9018525616997795e-07,3.160975755924711e-05
ENSG00000236267.1,AP006216.2,-4.257365342961623,4.3151921891877437e-07,3.160975755924711e-05
ENSG00000203900.2,AL121827.1,-3.976509930180903,4.3151921891877437e-07,3.160975755924711e-05
ENSG00000271681.1,AC136601.2,-4.592884344464713,4.3151921891877437e-07,3.160975755924711e-05
ENSG00000276960.1,AL109933.4,-3.349213143794888,5.810842368414076e-07,3.160975755924711e-05
ENSG00000287316.1,AC007391.3,-4.197524185046592,6.027713708902513e-07,3.160975755924711e-05
ENSG00000256863.1,AP001880.2,-4.211379737955391,6.027713708902513e-07,3.160975755924711e-05
ENSG00000251424.1,AC021146.9,-4.640912182283995,6.027713708902513e-07,3.160975755924711e-05
ENSG00000286789.1,AL161645.2,-3.869629250033126,7.12528311422802e-07,3.160975755924711e-05
ENSG00000199488.1,RNU1-70P,-3.5552493435810146,8.08118164251576e-07,3.160975755924711e-05
ENSG00000287928.1,AC007535.1,-4.011326772951452,8.08118164251576e-07,3.160975755924711e-05
ENSG00000286840.1,AL451127.2,-3.9616220403832982,9.103158439307538e-07,3.160975755924711e-05
ENSG00000248676.1,AC083902.1,-3.8917248263382516,9.832046674476578e-07,3.160975755924711e-05
ENSG00000197254.4,AP000445.1,-3.3880484463503193,1.0454407446357594e-06,3.160975755924711e-05
ENSG00000248319.2,LINC02275,-3.2111294943509536,1.0454407446357594e-06,3.160975755924711e-05
ENSG00000111713.3,GYS2,-4.374485058611951,1.0454407446357594e-06,3.160975755924711e-05
ENSG00000267444.1,SMUG1P1,-4.296750165105533,1.0454407446357594e-06,3.160975755924711e-05
ENSG00000233415.1,AL133419.1,-3.698859155343899,1.1659696477627077e-06,3.160975755924711e-05
ENSG00000167014.11,TERB2,-3.7324912279660207,1.1659696477627077e-06,3.160975755924711e-05
ENSG00000179577.3,AP003471.1,-3.378600607717218,1.223550561866771e-06,3.160975755924711e-05
ENSG00000256847.1,CCND2P1,-4.103414030692771,1.310873937401999e-06,3.160975755924711e-05
ENSG00000227306.1,LINC02708,-3.7860643067964372,1.3449372644641752e-06,3.160975755924711e-05
ENSG00000257817.2,AC026765.3,-3.678994163991158,1.4306676831612076e-06,3.160975755924711e-05
ENSG00000271239.1,AC007423.1,-4.041234271989285,1.5299590792884728e-06,3.160975755924711e-05
ENSG00000225765.2,LINC01831,-4.319063703225926,1.5991160607491165e-06,3.160975755924711e-05
ENSG00000215124.2,AMD1P4,-4.088908735724803,1.9038248904658486e-06,3.160975755924711e-05
ENSG00000261978.1,AC116025.1,-3.5336049420610696,2.0783737649245856e-06,3.160975755924711e-05
ENSG00000286398.1,AL360013.3,-3.8576863598640196,2.165772897468476e-06,3.160975755924711e-05
ENSG00000236341.1,AL161740.1,-3.552110542929883,2.218050809492182e-06,3.160975755924711e-05
ENSG00000241224.8,C3orf85,-3.7341699693113326,2.218050809492182e-06,3.160975755924711e-05
ENSG00000261058.1,AC099508.2,-4.205846844614819,2.218050809492182e-06,3.160975755924711e-05
ENSG00000235510.1,BX842568.3,-3.8977958462171136,2.218050809492182e-06,3.160975755924711e-05
ENSG00000256020.1,AC006205.2,-3.7393881960853905,2.51705394480796e-06,3.160975755924711e-05
ENSG00000240935.6,PLGLA,-3.8489330932291206,2.5346650207609674e-06,3.160975755924711e-05
ENSG00000229740.3,U91324.1,-3.727226054393766,2.5346650207609674e-06,3.160975755924711e-05
ENSG00000205865.4,FAM99B,-3.713918336362805,2.5721441147468066e-06,3.160975755924711e-05
ENSG00000286510.1,AC018695.8,-4.302098243691169,2.5721441147468066e-06,3.160975755924711e-05
ENSG00000248709.3,AC008549.1,-3.5905422651332706,2.846750201472387e-06,3.160975755924711e-05
ENSG00000225418.1,AKR1C5P,-3.625292121937819,2.846750201472387e-06,3.160975755924711e-05
ENSG00000263761.3,GDF2,-2.8428751155975367,2.846750201472387e-06,3.160975755924711e-05
ENSG00000205866.4,FAM99A,-2.9966027337069705,2.846750201472387e-06,3.160975755924711e-05
ENSG00000223991.1,AC104809.1,-4.42906558645561,2.846750201472387e-06,3.160975755924711e-05
ENSG00000282097.1,AL160408.6,-3.6099142573078744,2.9345119761318304e-06,3.160975755924711e-05
ENSG00000286081.1,AC016682.1,-4.084052229948974,3.1479311968080606e-06,3.160975755924711e-05
ENSG00000165478.7,HEPACAM,-4.4688210374296204,3.1479311968080606e-06,3.160975755924711e-05
ENSG00000174992.8,ZG16,-3.5575393179454773,3.1479311968080606e-06,3.160975755924711e-05
ENSG00000250436.1,LINC02499,-3.1175263153330417,3.1479311968080606e-06,3.160975755924711e-05
ENSG00000228445.1,UGT1A2P,-3.3907280990949538,3.1479311968080606e-06,3.160975755924711e-05
ENSG00000238097.2,LINC02037,-3.3529179104341105,3.29115505083448e-06,3.160975755924711e-05
ENSG00000279372.1,AC137723.1,-3.996578564387779,3.29115505083448e-06,3.160975755924711e-05
ENSG00000237767.2,LINC01370,-3.2736209021853053,3.3944963778529403e-06,3.160975755924711e-05
ENSG00000243694.3,LINC02027,-3.2812769445697745,3.4326329857826513e-06,3.160975755924711e-05
ENSG00000266964.6,FXYD1,-3.933999302108965,3.4326329857826513e-06,3.160975755924711e-05
