gene_id,gene_name,log2FC,pvalue,padj,dea_rank,rf_rank,xgb_rank,consensus_score
ENSG00000036473.8,OTC,-2.191050532733806,4.923346619580148e-06,3.160975755924711e-05,56,525,498,1079
ENSG00000040275.17,SPDL1,1.435665399536915,4.923346619580148e-06,3.160975755924711e-05,57,555,532,1144
ENSG00000042429.12,MED17,1.2191927877690674,4.923346619580148e-06,3.160975755924711e-05,58,571,550,1179
ENSG00000042781.14,USH2A,-2.578721999340898,4.923346619580148e-06,3.160975755924711e-05,59,567,554,1180
ENSG00000043143.20,JADE2,1.0147557222250287,4.923346619580148e-06,3.160975755924711e-05,74,562,559,1195
ENSG00000070882.13,OSBPL3,1.6405283305111529,4.923346619580148e-06,3.160975755924711e-05,164,22,1079,1265
ENSG00000051180.17,RAD51,2.9516007090938814,4.923346619580148e-06,3.160975755924711e-05,85,663,651,1399
ENSG00000051341.14,POLQ,3.259899332437803,4.923346619580148e-06,3.160975755924711e-05,86,662,652,1400
ENSG00000053524.12,MCF2L2,3.238251718494217,4.923346619580148e-06,3.160975755924711e-05,124,674,672,1470
ENSG00000055955.17,ITIH4,-1.3936123374235998,5.653983258165504e-06,3.160975755924711e-05,125,729,714,1568
ENSG00000055957.11,ITIH1,-1.247442639660072,4.923346619580148e-06,3.160975755924711e-05,126,728,715,1569
ENSG00000062038.14,CDH3,3.766127015188378,5.653983258165504e-06,3.160975755924711e-05,117,812,791,1720
ENSG00000062282.15,DGAT2,-1.100762009252784,4.923346619580148e-06,3.160975755924711e-05,118,809,794,1721
ENSG00000005421.9,PON1,-1.5773039381618554,4.923346619580148e-06,3.160975755924711e-05,1590,57,89,1736
ENSG00000064199.7,SPA17,2.3429920318302084,6.487763976485615e-06,3.160975755924711e-05,119,843,826,1788
ENSG00000064547.14,LPAR2,1.826328004214194,4.923346619580148e-06,3.160975755924711e-05,120,863,838,1821
ENSG00000035499.13,DEPDC1B,3.139146457505216,4.923346619580148e-06,3.160975755924711e-05,55,1286,488,1829
ENSG00000065328.17,MCM10,3.463333682706778,4.923346619580148e-06,3.160975755924711e-05,121,894,872,1887
ENSG00000065600.13,PACC1,1.6454994788515267,4.923346619580148e-06,3.160975755924711e-05,122,881,885,1888
ENSG00000065911.13,MTHFD2,1.4621511021757507,4.923346619580148e-06,3.160975755924711e-05,123,899,899,1921
