gene_name,ensembl_id,drug_name,drug_type,max_clinical_stage,diseases
OTC,ENSG00000036473,,,,
SPDL1,ENSG00000040275,,,,
MED17,ENSG00000042429,,,,
USH2A,ENSG00000042781,,,,
JADE2,ENSG00000043143,,,,
OSBPL3,ENSG00000070882,,,,
RAD51,ENSG00000051180,,,,
POLQ,ENSG00000051341,,,,
MCF2L2,ENSG00000053524,,,,
ITIH4,ENSG00000055955,,,,
ITIH1,ENSG00000055957,,,,
CDH3,ENSG00000062038,PF-03732010,Unknown,PHASE_1,
DGAT2,ENSG00000062282,,,,
PON1,ENSG00000005421,,,,
SPA17,ENSG00000064199,,,,
LPAR2,ENSG00000064547,,,,
DEPDC1B,ENSG00000035499,,,,
MCM10,ENSG00000065328,,,,
PACC1,ENSG00000065600,,,,
MTHFD2,ENSG00000065911,,,,
