gene_name,source,mean_shap,std_shap,n_samples
USH2A,TCGA_training,0.02217757960673045,0.03264259658867133,44
USH2A,GSE26566,-0.003967659769278156,0.03976061079450772,169
USH2A,GSE32225,-0.04145878402963319,6.961386325630753e-18,155
USH2A,GSE89749,-0.0414587840296332,1.3935975852570164e-17,120
ITIH1,TCGA_training,0.020120715248243,0.028562272015087414,44
ITIH1,GSE26566,-0.026862878081504126,0.02316010648819169,169
ITIH1,GSE32225,-0.03556110293357513,6.961386325630753e-18,155
ITIH1,GSE89749,-0.035561102933575124,6.967987926285082e-18,120
DGAT2,TCGA_training,0.020821058608851292,0.028182431964945315,44
DGAT2,GSE26566,-0.01706705327926058,0.02995711220108793,169
DGAT2,GSE32225,-0.034451668663875966,0.0,155
DGAT2,GSE89749,-0.03445166866387595,6.967987926285082e-18,120
JADE2,TCGA_training,0.018637814880253286,0.02609249282491383,44
JADE2,GSE26566,-0.032225821483383044,6.127329764818808e-18,169
JADE2,GSE32225,-0.03222582148338304,0.0,155
JADE2,GSE89749,-0.03222582148338304,0.0,120
OTC,TCGA_training,0.01574037977366893,0.026912276252814817,44
OTC,GSE26566,-0.021624332437197125,0.02721496406038624,169
OTC,GSE32225,-0.03616871113542198,0.0,155
OTC,GSE89749,-0.03616871113542198,6.967987926285082e-18,120
PON1,TCGA_training,0.018135462819795903,0.023576962274765304,44
PON1,GSE26566,-0.023442805066164304,0.015343378801119972,169
PON1,GSE32225,-0.028046355362022293,0.0,155
PON1,GSE89749,-0.028046355362022282,1.0451981889427623e-17,120
RAD51,TCGA_training,0.01852780706562687,0.02284981761206992,44
RAD51,GSE26566,0.0011539501533084718,0.028070916111893236,169
RAD51,GSE32225,0.029982352520172395,1.3922772651261505e-17,155
RAD51,GSE89749,0.02998235252017239,1.0451981889427623e-17,120
MTHFD2,TCGA_training,0.017724480253713173,0.023129518586022055,44
MTHFD2,GSE26566,0.026633840124611577,0.013065282472500222,169
MTHFD2,GSE32225,0.029769934799167792,3.480693162815376e-18,155
MTHFD2,GSE89749,0.02976993479916779,0.0,120
