rank,gene_name,mean_abs_shap
1,USH2A,0.03913799125521678
2,ITIH1,0.03466843917561471
3,DGAT2,0.03455128669861874
4,JADE2,0.03182110548709186
5,OTC,0.03053667069270519
6,PON1,0.029518062740623185
7,RAD51,0.029171390125556404
8,MTHFD2,0.02872768874496279
9,MCF2L2,0.025252620860148737
10,SPDL1,0.02485897368381158
11,MCM10,0.0237182211492195
12,PACC1,0.023483614621292684
13,DEPDC1B,0.023049730325513593
14,POLQ,0.022272345732317792
15,MED17,0.022090016599869748
16,OSBPL3,0.019955282738690742
17,ITIH4,0.016115322054207088
18,LPAR2,0.012884874290576675
19,SPA17,0.011735514533611014
20,CDH3,0.007643144159450948
