gene_name,mean_importance_auc,std_importance_auc,mean_importance_balanced_accuracy,std_importance_balanced_accuracy,rank_auc
RAD51,0.013306625312311575,0.0046334390038973725,0.0033692722371967744,0.0023792565457080653,1
USH2A,0.011056136075520953,0.008676889420917521,-0.0034135804748366082,0.007443188272673568,2
DEPDC1B,0.007006855468990395,0.003596415557701207,0.0026055705300988365,0.0021989646451968433,3
MED17,0.00598961217984223,0.008573780846465876,-0.007322551662174267,0.0034916383740921965,4
POLQ,0.005842533446565564,0.0012731457543627386,0.0006289308176100554,0.0008332092089394149,5
MCM10,0.00575330157909637,0.00247608222795701,0.0024258760107816837,0.0015716851468585875,6
OTC,0.003395118709153366,0.0038234471246368735,0.006895469482701344,0.0033112666304799527,7
MCF2L2,0.002139103250501569,0.0037791756947380853,-0.013948479365899873,0.0032857162331036763,8
DGAT2,0.0021286415832810473,0.003114375111820267,-0.0033120407635786313,0.003953191291863402,9
CDH3,0.0018984849044296167,0.002739820090109796,0.0010332434860736799,0.0011373754628187188,10
MTHFD2,0.0018972541200507175,0.001036697689781263,3.384657041931212e-05,0.001821644559690878,11
OSBPL3,0.0013760169355931126,0.0021994605853016243,0.0015274034141958641,0.001465364459146468,12
LPAR2,0.0007033932725325783,0.004098030589208999,-0.0028751123090745455,0.001832531720967759,13
PON1,0.0005858533643491389,0.0020036753878394514,-0.0004904675749855351,0.0025789691674104795,14
ITIH1,0.00026215707270245875,0.00328370896513386,-0.004670826717867301,0.0035706728506238322,15
JADE2,0.0,0.0,0.0,0.0,16
SPA17,0.0,0.0,0.0,0.0,17
PACC1,0.0,0.0,0.0,0.0,18
SPDL1,0.0,0.0,0.0,0.0,19
ITIH4,-1.16924515993877e-05,0.0006365693076738957,-0.00017969451931715657,0.0004581329302419284,20
