gene_name,dea_rank,discovery_rf_rank,discovery_xgb_rank,consensus_score,selection_count,rf_builtin_rank,shap_rank,permutation_rank,in_nested_cv_stability_pool
USH2A,59,567,554,1180,0,1,1,2,False
ITIH1,126,728,715,1569,0,2,2,15,False
DGAT2,118,809,794,1721,0,3,3,9,False
JADE2,74,562,559,1195,0,5,4,16,False
OTC,56,525,498,1079,0,4,5,7,False
PON1,1590,57,89,1736,0,7,6,14,False
RAD51,85,663,651,1399,0,8,7,1,False
MTHFD2,123,899,899,1921,0,6,8,11,False
MCF2L2,124,674,672,1470,0,9,9,8,False
SPDL1,57,555,532,1144,0,10,10,19,False
MCM10,121,894,872,1887,0,12,11,6,False
PACC1,122,881,885,1888,0,13,12,18,False
DEPDC1B,55,1286,488,1829,0,15,13,3,False
POLQ,86,662,652,1400,0,11,14,5,False
MED17,58,571,550,1179,0,14,15,4,False
OSBPL3,164,22,1079,1265,0,16,16,12,False
ITIH4,125,729,714,1568,0,17,17,20,False
LPAR2,120,863,838,1821,0,18,18,13,False
SPA17,119,843,826,1788,0,19,19,17,False
CDH3,117,812,791,1720,0,20,20,10,False
