gene_name,frequency
TULP3,5
PRANCR,5
ZNF2,5
ZFC3H1,5
UPF2,4
TRIM56,4
DPM1,4
ZNF638,4
SNHG32,3
CYP4F2,3
SWT1,3
GDF2,3
NFE2L1-DT,3
PTPN18,3
VPS35,3
TCF3,3
WAPL,3
IPO5,3
SPINT1-AS1,3
CCDC59,3
AC011476.3,3
SORD2P,3
CHASERR,3
MAFG-DT,3
GNRH1,2
Z92544.1,2
AC002398.1,2
AC016773.1,2
RPLP0P2,2
AC016682.1,2
ERCC8,2
AC010642.2,2
DSTNP2,2
CFHR1,2
AC116562.3,2
BTBD1,2
CDX1,2
EEF1AKNMT,2
KCNJ2-AS1,2
AC024060.2,2
MELK,2
AC092687.3,2
AC060780.1,2
AP001160.1,2
RPS4XP6,2
MIEF2,2
PABPC1L,2
TAX1BP1,2
MNX1-AS1,2
AC005785.1,2
AC018904.1,2
AC110285.2,2
RPS7P1,1
DOCK9-DT,1
NRIP2,1
PRDM6,1
NOP16,1
CC2D2A,1
STAU2,1
LSG1,1
AC027702.1,1
TTC7A,1
AC015802.4,1
AC010280.1,1
AC018809.2,1
PKD1P6-NPIPP1,1
RANBP1,1
PRR12,1
DNAJC7,1
YWHAH,1
NACC1,1
ADAM15,1
MFSD12,1
RCN1,1
ATP6V1C1,1
ARPC5,1
ISCA2,1
FLAD1,1
CDC42EP1,1
EMC9,1
CCND3,1
TACC2,1
GEMIN5,1
MRPL22,1
SREK1IP1,1
NCBP2,1
XYLT2,1
YWHAZ,1
WHAMM,1
LYSMD1,1
FAM220A,1
STK25,1
ATP13A1,1
CBX8,1
SRP14,1
AP000873.2,1
SFN,1
DOT1L,1
DDX1,1
MKRN1,1
CLN3,1
INTS3,1
TERF2,1
SLC9A1,1
SPTLC1,1
RBP4,1
AL358472.3,1
AL359091.4,1
AP000238.1,1
AC096733.2,1
AC018638.7,1
IGSF9B,1
AC005014.2,1
SLC35C2,1
AC025423.3,1
AC145285.6,1
LINC01730,1
NPEPPSP1,1
AC004943.1,1
LINC00662,1
LINC00909,1
AC004803.1,1
AL355987.5,1
SNRPG,1
TADA2A,1
HERC2P2,1
AC145423.2,1
EPB41L4A-DT,1
AL031587.5,1
DCP1A,1
AC122713.2,1
AC096720.2,1
LINC01943,1
AC011815.3,1
C2orf81,1
AC008780.1,1
STRADA,1
DNAH17-AS1,1
AC024075.1,1
U91328.3,1
AC069544.1,1
AC017083.1,1
AC092119.2,1
KRT8P46,1
AC112206.2,1
AC092828.1,1
LYN,1
AL132989.1,1
PBXIP1,1
BLOC1S4,1
ZCRB1,1
EXOC5,1
FBXW11,1
RAC1P2,1
AC015712.2,1
AC022167.2,1
GAN,1
PAXBP1-AS1,1
OR7E7P,1
MYLK-AS1,1
RPS2P5,1
AC011495.1,1
