column,value,count
title,CCBCN001,1
title,CCBCN002,1
title,CCBCN003,1
title,CCBCN004,1
title,CCBCN005,1
title,CCBCN006,1
title,CCBCN011,1
title,CCBCN012,1
title,CCBCN013,1
title,CCBCN014,1
title,CCBCN015,1
title,CCBCN16,1
title,CCBCN17,1
title,CCBCN18,1
title,CCBCN20,1
title,CCBCN21,1
title,CCBCN22,1
title,CCBCN24,1
title,CCBCN25,1
title,CCBCN26,1
title,CCBCN27,1
title,CCBCN30,1
title,CCBCN31,1
title,CCM002,1
title,CCM003,1
title,CCM004,1
title,CCM005,1
title,CCM006,1
title,CCM007,1
title,CCM008,1
title,CCM009,1
title,CCM010,1
title,CCM011,1
title,CCM012,1
title,CCM013,1
title,CCM014,1
title,CCM015,1
title,CCM016,1
title,CCM017,1
title,CCM018,1
title,CCM019,1
title,CCM020,1
title,CCM021,1
title,CCM022,1
title,CCM023,1
title,CCM024,1
title,CCM025,1
title,CCM026,1
title,CCM027,1
title,CCM029,1
title,CCM030,1
title,CCM031,1
title,CCM032,1
title,CCM033,1
title,CCM034,1
title,CCM036,1
title,CCM037,1
title,CCM038,1
title,CCM039,1
title,CCM040,1
title,CCM041,1
title,CCM042,1
title,CCM043,1
title,CCM044,1
title,CCM045,1
title,CCM046,1
title,CCM047,1
title,CCM048,1
title,CCM049,1
title,CCM050,1
title,CCM051,1
title,CCM052,1
title,CCM053,1
title,CCM054,1
title,CCM055,1
title,CCM056,1
title,CCM057,1
title,CCM058,1
title,CCM059,1
title,CCM060,1
title,CCM061,1
title,CCM062,1
title,CCM063,1
title,CCM064,1
title,CCM065,1
title,CCM066,1
title,CCM067,1
title,CCM068,1
title,CCM069,1
title,CCM070,1
title,CCM071,1
title,CCM072,1
title,CCM28,1
title,CCNY001,1
title,CCNY002,1
title,CCNY004,1
title,CCNY005,1
title,CCNY007,1
title,CCNY009,1
title,CCNY010,1
title,CCNY011,1
title,CCNY012,1
title,CCNY013,1
title,CCNY014,1
title,CCNY015,1
title,CCNY016,1
title,CCNY023,1
title,CCNY024,1
title,CCNY026,1
title,CCNY027,1
title,CCNY028,1
title,CCNY029,1
title,CCNY031,1
title,CCNY032,1
title,CCNY033,1
title,CCNY034,1
title,CCNY035,1
title,CCNY036,1
title,CCNY037,1
title,CCNY038,1
title,CCNY039,1
title,CCNY040,1
title,CCNY041,1
title,CCNY042,1
title,CCNY043,1
title,CCNY044,1
title,CCNY045,1
title,CCNY046,1
title,CCNY047,1
title,CCNY048,1
title,CCNY049,1
title,CCNY051,1
title,CCNY052,1
title,CCNY053,1
title,CCNY054,1
title,CCNY055,1
title,CCNY057,1
title,CCNY058,1
title,CCNY059,1
title,CCNY060,1
title,CCNY061,1
title,CCNY062,1
title,CCNY063,1
title,CCNY064,1
title,CCNY17,1
title,CCNY18,1
title,CCNY19,1
title,CCNY20,1
title,CCNY21,1
title,Ctrl_1,1
title,Ctrl_2,1
title,Ctrl_3,1
title,Ctrl_5,1
title,Ctrl_5_2,1
title,Ctrl_6,1
source_name_ch1,Human intrahepatic cholangiocarcinoma,149
source_name_ch1,Human normal biliary epithelial cells,6
characteristics_ch1,disease state: intrahepatic cholangiocarcinoma | nmf.subclass: Proliferation,92
characteristics_ch1,disease state: intrahepatic cholangiocarcinoma | nmf.subclass: Inflammation,57
characteristics_ch1,cell type: normal biliary epithelial cells,6
