sample_id,phenotype,disease,tissue,subtype,matched_column,matched_keyword,confidence
GSM653015,Normal,Unknown,Liver,NA,title,surrounding liver,0.95
GSM653016,Normal,Unknown,Liver,NA,title,surrounding liver,0.95
GSM653017,Normal,Unknown,Liver,NA,title,surrounding liver,0.95
GSM653018,Normal,Unknown,Liver,NA,title,surrounding liver,0.95
GSM653019,Normal,Unknown,Liver,NA,title,surrounding liver,0.95
GSM653020,Normal,Unknown,Liver,NA,title,surrounding liver,0.95
GSM653021,Normal,Unknown,Liver,NA,title,surrounding liver,0.95
GSM653022,Normal,Unknown,Liver,NA,title,surrounding liver,0.95
GSM653023,Normal,Unknown,Liver,NA,title,surrounding liver,0.95
GSM653024,Normal,Unknown,Liver,NA,title,surrounding liver,0.95
GSM653025,Normal,Unknown,Liver,NA,title,surrounding liver,0.95
GSM653026,Normal,Unknown,Liver,NA,title,surrounding liver,0.95
GSM653027,Normal,Unknown,Liver,NA,title,surrounding liver,0.95
GSM653028,Normal,Unknown,Liver,NA,title,surrounding liver,0.95
GSM653029,Normal,Unknown,Liver,NA,title,surrounding liver,0.95
GSM653030,Normal,Unknown,Liver,NA,title,surrounding liver,0.95
GSM653031,Normal,Unknown,Liver,NA,title,surrounding liver,0.95
GSM653032,Normal,Unknown,Liver,NA,title,surrounding liver,0.95
GSM653033,Normal,Unknown,Liver,NA,title,surrounding liver,0.95
GSM653034,Normal,Unknown,Liver,NA,title,surrounding liver,0.95
GSM653035,Normal,Unknown,Liver,NA,title,surrounding liver,0.95
GSM653036,Normal,Unknown,Liver,NA,title,surrounding liver,0.95
GSM653037,Normal,Unknown,Liver,NA,title,surrounding liver,0.95
GSM653038,Normal,Unknown,Liver,NA,title,surrounding liver,0.95
GSM653039,Normal,Unknown,Liver,NA,title,surrounding liver,0.95
GSM653040,Normal,Unknown,Liver,NA,title,surrounding liver,0.95
GSM653041,Normal,Unknown,Liver,NA,title,surrounding liver,0.95
GSM653042,Normal,Unknown,Liver,NA,title,surrounding liver,0.95
GSM653043,Normal,Unknown,Liver,NA,title,surrounding liver,0.95
GSM653044,Normal,Unknown,Liver,NA,title,surrounding liver,0.95
GSM653045,Normal,Unknown,Liver,NA,title,surrounding liver,0.95
GSM653046,Normal,Unknown,Liver,NA,title,surrounding liver,0.95
GSM653047,Normal,Unknown,Liver,NA,title,surrounding liver,0.95
GSM653048,Normal,Unknown,Liver,NA,title,surrounding liver,0.95
GSM653049,Normal,Unknown,Liver,NA,title,surrounding liver,0.95
GSM653050,Normal,Unknown,Liver,NA,title,surrounding liver,0.95
GSM653051,Normal,Unknown,Liver,NA,title,surrounding liver,0.95
GSM653052,Normal,Unknown,Liver,NA,title,surrounding liver,0.95
GSM653053,Normal,Unknown,Liver,NA,title,surrounding liver,0.95
GSM653054,Normal,Unknown,Liver,NA,title,surrounding liver,0.95
GSM653055,Normal,Unknown,Liver,NA,title,surrounding liver,0.95
GSM653056,Normal,Unknown,Liver,NA,title,surrounding liver,0.95
GSM653057,Normal,Unknown,Liver,NA,title,surrounding liver,0.95
GSM653058,Normal,Unknown,Liver,NA,title,surrounding liver,0.95
GSM653059,Normal,Unknown,Liver,NA,title,surrounding liver,0.95
GSM653060,Normal,Unknown,Liver,NA,title,surrounding liver,0.95
GSM653061,Normal,Unknown,Liver,NA,title,surrounding liver,0.95
GSM653062,Normal,Unknown,Liver,NA,title,surrounding liver,0.95
GSM653063,Normal,Unknown,Liver,NA,title,surrounding liver,0.95
GSM653064,Normal,Unknown,Liver,NA,title,surrounding liver,0.95
GSM653065,Normal,Unknown,Liver,NA,title,surrounding liver,0.95
GSM653066,Normal,Unknown,Liver,NA,title,surrounding liver,0.95
GSM653067,Normal,Unknown,Liver,NA,title,surrounding liver,0.95
GSM653068,Normal,Unknown,Liver,NA,title,surrounding liver,0.95
GSM653069,Normal,Unknown,Liver,NA,title,surrounding liver,0.95
GSM653070,Normal,Unknown,Liver,NA,title,surrounding liver,0.95
GSM653071,Normal,Unknown,Liver,NA,title,surrounding liver,0.95
GSM653072,Normal,Unknown,Liver,NA,title,surrounding liver,0.95
GSM653073,Normal,Unknown,Liver,NA,title,surrounding liver,0.95
GSM653074,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,title,tumor,0.95
GSM653075,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,title,tumor,0.95
GSM653076,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,title,tumor,0.95
GSM653077,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,title,tumor,0.95
GSM653078,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,title,tumor,0.95
GSM653079,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,title,tumor,0.95
GSM653080,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,title,tumor,0.95
GSM653081,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,title,tumor,0.95
GSM653082,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,title,tumor,0.95
GSM653083,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,title,tumor,0.95
GSM653084,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,title,tumor,0.95
GSM653085,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,title,tumor,0.95
GSM653086,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,title,tumor,0.95
GSM653087,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,title,tumor,0.95
GSM653088,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,title,tumor,0.95
GSM653089,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,title,tumor,0.95
GSM653090,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,title,tumor,0.95
GSM653091,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,title,tumor,0.95
GSM653092,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,title,tumor,0.95
GSM653093,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,title,tumor,0.95
GSM653094,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,title,tumor,0.95
GSM653095,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,title,tumor,0.95
GSM653096,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,title,tumor,0.95
GSM653097,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,title,tumor,0.95
GSM653098,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,title,tumor,0.95
GSM653099,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,title,tumor,0.95
GSM653100,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,title,tumor,0.95
GSM653101,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,title,tumor,0.95
GSM653102,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,title,tumor,0.95
GSM653103,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,title,tumor,0.95
GSM653104,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,title,tumor,0.95
GSM653105,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,title,tumor,0.95
GSM653106,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,title,tumor,0.95
GSM653107,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,title,tumor,0.95
GSM653108,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,title,tumor,0.95
GSM653109,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,title,tumor,0.95
GSM653110,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,title,tumor,0.95
GSM653111,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,title,tumor,0.95
GSM653112,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,title,tumor,0.95
GSM653113,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,title,tumor,0.95
GSM653114,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,title,tumor,0.95
GSM653115,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,title,tumor,0.95
GSM653116,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,title,tumor,0.95
GSM653117,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,title,tumor,0.95
GSM653118,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,title,tumor,0.95
GSM653119,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,title,tumor,0.95
GSM653120,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,title,tumor,0.95
GSM653121,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,title,tumor,0.95
GSM653122,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,title,tumor,0.95
GSM653123,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,title,tumor,0.95
GSM653124,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,title,tumor,0.95
GSM653125,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,title,tumor,0.95
GSM653126,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,title,tumor,0.95
GSM653127,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,title,tumor,0.95
GSM653128,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,title,tumor,0.95
GSM653129,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,title,tumor,0.95
GSM653130,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,title,tumor,0.95
GSM653131,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,title,tumor,0.95
GSM653132,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,title,tumor,0.95
GSM653133,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,title,tumor,0.95
GSM653134,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,title,tumor,0.95
GSM653135,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,title,tumor,0.95
GSM653136,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,title,tumor,0.95
GSM653137,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,title,tumor,0.95
GSM653138,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,title,tumor,0.95
GSM653139,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,title,tumor,0.95
GSM653140,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,title,tumor,0.95
GSM653141,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,title,tumor,0.95
GSM653142,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,title,tumor,0.95
GSM653143,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,title,tumor,0.95
GSM653144,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,title,tumor,0.95
GSM653145,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,title,tumor,0.95
GSM653146,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,title,tumor,0.95
GSM653147,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,title,tumor,0.95
GSM653148,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,title,tumor,0.95
GSM653149,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,title,tumor,0.95
GSM653150,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,title,tumor,0.95
GSM653151,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,title,tumor,0.95
GSM653152,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,title,tumor,0.95
GSM653153,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,title,tumor,0.95
GSM653154,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,title,tumor,0.95
GSM653155,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,title,tumor,0.95
GSM653156,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,title,tumor,0.95
GSM653157,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,title,tumor,0.95
GSM653158,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,title,tumor,0.95
GSM653159,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,title,tumor,0.95
GSM653160,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,title,tumor,0.95
GSM653161,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,title,tumor,0.95
GSM653162,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,title,tumor,0.95
GSM653163,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,title,tumor,0.95
GSM653164,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,title,tumor,0.95
GSM653165,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,title,tumor,0.95
GSM653166,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,title,tumor,0.95
GSM653167,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,title,tumor,0.95
GSM653168,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,title,tumor,0.95
GSM653169,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,title,tumor,0.95
GSM653170,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,title,tumor,0.95
GSM653171,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,title,tumor,0.95
GSM653172,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,title,tumor,0.95
GSM653173,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,title,tumor,0.95
GSM653174,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,title,tumor,0.95
GSM653175,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,title,tumor,0.95
GSM653176,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,title,tumor,0.95
GSM653177,Tumor,Cholangiocarcinoma,Tumor Tissue,NA,title,tumor,0.95
GSM653178,Normal,Healthy,Liver,NA,title,normal,0.95
GSM653179,Normal,Healthy,Liver,NA,title,normal,0.95
GSM653180,Normal,Healthy,Liver,NA,title,normal,0.95
GSM653181,Normal,Healthy,Liver,NA,title,normal,0.95
GSM653182,Normal,Healthy,Liver,NA,title,normal,0.95
GSM653183,Normal,Healthy,Liver,NA,title,normal,0.95
