gene_set_library,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Molecular_Function_2025,Single-Stranded DNA Binding (GO:0003697),2/97,0.0041786061661169,0.0376562486845331,23.257309941520468,127.39837006488538,RAD51;MCM10
GO_Molecular_Function_2025,Arylesterase Activity (GO:0004064),1/5,0.0049904406959516,0.0376562486845331,262.8421052631579,1393.123889480945,PON1
GO_Molecular_Function_2025,Diacylglycerol O-acyltransferase Activity (GO:0004144),1/5,0.0049904406959516,0.0376562486845331,262.8421052631579,1393.123889480945,DGAT2
GO_Molecular_Function_2025,Histone H4K16 Acetyltransferase Activity (GO:0046972),1/7,0.0069799958941807,0.0376562486845331,175.21052631578948,869.8689177892479,JADE2
GO_Molecular_Function_2025,pH-gated Monoatomic Ion Channel Activity (GO:0160128),1/7,0.0069799958941807,0.0376562486845331,175.21052631578948,869.8689177892479,PACC1
GO_Molecular_Function_2025,Phosphate Ion Binding (GO:0042301),1/9,0.0089657734963174,0.0376562486845331,131.39473684210526,619.439581424405,MTHFD2
GO_Molecular_Function_2025,Histone H4K12 Acetyltransferase Activity (GO:0043997),1/9,0.0089657734963174,0.0376562486845331,131.39473684210526,619.439581424405,JADE2
GO_Molecular_Function_2025,Histone H4K5 Acetyltransferase Activity (GO:0043995),1/9,0.0089657734963174,0.0376562486845331,131.39473684210526,619.439581424405,JADE2
GO_Molecular_Function_2025,Histone H4K8 Acetyltransferase Activity (GO:0043996),1/9,0.0089657734963174,0.0376562486845331,131.39473684210526,619.439581424405,JADE2
GO_Molecular_Function_2025,Histone H3K14 Acetyltransferase Activity (GO:0036408),1/9,0.0089657734963174,0.0376562486845331,131.39473684210526,619.439581424405,JADE2
GO_Molecular_Function_2025,Nuclear Vitamin D Receptor Binding (GO:0042809),1/13,0.0129260209528938,0.041721410608916,87.57894736842105,380.8381798737429,MED17
GO_Molecular_Function_2025,DNA Replication Origin Binding (GO:0003688),1/13,0.0129260209528938,0.041721410608916,87.57894736842105,380.8381798737429,MCM10
GO_Molecular_Function_2025,Hyaluronic Acid Binding (GO:0005540),1/13,0.0129260209528938,0.041721410608916,87.57894736842105,380.8381798737429,ITIH1
GO_Molecular_Function_2025,Metal Ion Binding (GO:0046872),3/516,0.0140398538818177,0.041721410608916,6.696594427244582,28.56670274715457,MTHFD2;PON1;ITIH1
GO_Molecular_Function_2025,Histone H3 Acetyltransferase Activity (GO:0010484),1/15,0.0149005037888985,0.041721410608916,75.06015037593986,315.7300332957057,JADE2
GO_Molecular_Function_2025,Histone H4 Acetyltransferase Activity (GO:0010485),1/18,0.0178551954764704,0.0468698881257348,61.80495356037152,248.79341471282052,JADE2
GO_Molecular_Function_2025,DNA Polymerase Binding (GO:0070182),1/20,0.019820311238232,0.0485367586923224,55.29362880886426,216.80897525048425,RAD51
GO_Molecular_Function_2025,Single-Stranded DNA Helicase Activity (GO:0017116),1/21,0.0208014680109953,0.0485367586923224,52.526315789473685,203.4203291515269,RAD51
GO_Molecular_Function_2025,Nuclear Thyroid Hormone Receptor Binding (GO:0046966),1/26,0.0256932740553108,0.0567956584380555,42.01052631578948,153.82263569148483,MED17
GO_Molecular_Function_2025,Sterol Transfer Activity (GO:0120015),1/29,0.0286172054274548,0.0591799910064834,37.50375939849624,133.2788782141628,OSBPL3
GO_Molecular_Function_2025,Acylglycerol O-acyltransferase Activity (GO:0016411),1/30,0.0295899955032417,0.0591799910064834,36.2087114337568,127.46621354176987,DGAT2
GO_Molecular_Function_2025,Peptidase Inhibitor Activity (GO:0030414),1/40,0.039267132268101,0.0749163786339211,26.910931174089068,87.12057233834933,ITIH4
GO_Molecular_Function_2025,Calcium Ion Binding (GO:0005509),2/324,0.0410256359185758,0.0749163786339211,6.783298826777088,21.662859193590258,PON1;ITIH1
GO_Molecular_Function_2025,Ligand-Gated Monoatomic Anion Channel Activity (GO:0099095),1/47,0.0459865060964822,0.080468828276622,22.80778032036613,70.23444455974413,PACC1
GO_Molecular_Function_2025,Endopeptidase Regulator Activity (GO:0061135),1/49,0.0478981120694178,0.080468828276622,21.855263157894736,66.41113333547993,ITIH4
GO_Molecular_Function_2025,Cholesterol Binding (GO:0015485),1/54,0.0526612202157059,0.0850681249638326,19.788480635551142,58.25483230121243,OSBPL3
GO_Molecular_Function_2025,Myosin Binding (GO:0017022),1/57,0.0555082103235644,0.0863461049477669,18.72556390977444,54.1398060702703,USH2A
GO_Molecular_Function_2025,Sterol Binding (GO:0032934),1/67,0.0649395901837056,0.0974093852755585,15.880382775119616,43.421696050712754,OSBPL3
GO_Molecular_Function_2025,Chloride Channel Activity (GO:0005254),1/76,0.0733512756104792,0.106232881918625,13.968421052631578,36.49243551909278,PACC1
GO_Molecular_Function_2025,Carboxylic Ester Hydrolase Activity (GO:0052689),1/111,0.1053850316942243,0.1475390443719141,9.507177033492823,21.392428630708658,PON1
GO_Molecular_Function_2025,Nuclear Receptor Binding (GO:0016922),1/116,0.1098744767967273,0.1477321935097022,9.091533180778033,20.077893566776314,MED17
GO_Molecular_Function_2025,Endopeptidase Inhibitor Activity (GO:0004866),1/119,0.1125578617216778,0.1477321935097022,8.859054415700268,19.350725039139657,ITIH4
GO_Molecular_Function_2025,Protein Homodimerization Activity (GO:0042803),2/680,0.1468473311534843,0.1855229074697141,3.1632251720747298,6.068210320564497,DGAT2;PON1
GO_Molecular_Function_2025,Magnesium Ion Binding (GO:0000287),1/162,0.1501852108088162,0.1855229074697141,6.478914677999346,12.283283683900576,MTHFD2
