gene_set_library,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,One carbon pool by folate,1/20,0.019820311238232,0.1581108149134871,55.29362880886426,216.80897525048425,MTHFD2
KEGG_2021_Human,Arginine biosynthesis,1/22,0.0217816918149241,0.1581108149134871,50.02255639097744,191.42059056605152,OTC
KEGG_2021_Human,Homologous recombination,1/41,0.0402297877766736,0.1581108149134871,26.23684210526316,84.30284540999916,RAD51
KEGG_2021_Human,Fat digestion and absorption,1/43,0.0421523505298068,0.1581108149134871,24.98496240601504,79.11400474395023,DGAT2
KEGG_2021_Human,Fanconi anemia pathway,1/54,0.0526612202157059,0.1581108149134871,19.788480635551142,58.25483230121243,RAD51
KEGG_2021_Human,Glycerolipid metabolism,1/61,0.0592915555925576,0.1581108149134871,17.473684210526315,49.3681970360476,DGAT2
KEGG_2021_Human,Pancreatic cancer,1/76,0.0733512756104792,0.1676600585382381,13.968421052631578,36.49243551909278,RAD51
KEGG_2021_Human,Pathways in cancer,2/531,0.0976512882114168,0.1953025764228337,4.085486242386053,9.504280846142684,RAD51;LPAR2
KEGG_2021_Human,Thyroid hormone signaling pathway,1/121,0.1143425137021189,0.2008786670675523,8.710526315789474,18.889271325741056,MED17
KEGG_2021_Human,Cell adhesion molecules,1/148,0.1381040836089422,0.2008786670675523,7.100966702470462,14.058122135286425,CDH3
KEGG_2021_Human,Phospholipase D signaling pathway,1/148,0.1381040836089422,0.2008786670675523,7.100966702470462,14.058122135286425,LPAR2
KEGG_2021_Human,Pathogenic Escherichia coli infection,1/197,0.1796881576076363,0.2250515157937476,5.312567132116004,9.119193547123624,LPAR2
KEGG_2021_Human,Rap1 signaling pathway,1/210,0.1903964850556194,0.2250515157937476,4.9788466381264165,8.258147136064768,LPAR2
KEGG_2021_Human,Regulation of actin cytoskeleton,1/218,0.1969200763195291,0.2250515157937476,4.793354353626,7.788996323493639,LPAR2
KEGG_2021_Human,Neuroactive ligand-receptor interaction,1/341,0.2911452817971114,0.3004660374320648,3.040247678018576,3.751461592199566,LPAR2
KEGG_2021_Human,PI3K-Akt signaling pathway,1/354,0.3004660374320648,0.3004660374320648,2.926345609065156,3.5186981013861267,LPAR2
