gene_set_library,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes
WikiPathways_2024_Human,Phase I Biotransformations Non P450 WP136,1/8,0.0079733565142536,0.0785224450968755,150.17293233082708,725.5830081396662,PON1
WikiPathways_2024_Human,Urea Cycle And Related Diseases WP4571,1/9,0.0089657734963174,0.0785224450968755,131.39473684210526,619.439581424405,OTC
WikiPathways_2024_Human,Biomarkers For Urea Cycle Disorders WP4583,1/12,0.0119373705403343,0.0785224450968755,95.54545454545456,423.0830518492731,OTC
WikiPathways_2024_Human,Homologous Recombination WP186,1/13,0.0129260209528938,0.0785224450968755,87.57894736842105,380.8381798737429,RAD51
WikiPathways_2024_Human,Congenital Generalized Lipodystrophy WP5101,1/18,0.0178551954764704,0.0785224450968755,61.80495356037152,248.79341471282052,DGAT2
WikiPathways_2024_Human,Overview Of Nanoparticle Effects WP3287,1/19,0.0188382206720142,0.0785224450968755,58.36842105263158,231.8316321803268,CDH3
WikiPathways_2024_Human,Disorders Of Folate Metabolism And Transport WP4259,1/19,0.0188382206720142,0.0785224450968755,58.36842105263158,231.8316321803268,MTHFD2
WikiPathways_2024_Human,Pyrimidine Metabolism And Related Diseases WP4225,1/20,0.019820311238232,0.0785224450968755,55.29362880886426,216.80897525048425,OTC
WikiPathways_2024_Human,Urea Cycle And Metabolism Of Amino Groups WP497,1/21,0.0208014680109953,0.0785224450968755,52.526315789473685,203.4203291515269,OTC
WikiPathways_2024_Human,Glycerolipids And Glycerophospholipids WP4722,1/22,0.0217816918149241,0.0785224450968755,50.02255639097744,191.42059056605152,DGAT2
WikiPathways_2024_Human,Familial Hyperlipidemia Type 4 WP5111,1/22,0.0217816918149241,0.0785224450968755,50.02255639097744,191.42059056605152,DGAT2
WikiPathways_2024_Human,Triacylglyceride Synthesis WP325,1/24,0.0237393438664972,0.0785224450968755,45.66819221967963,170.827422984315,DGAT2
WikiPathways_2024_Human,Urea Cycle And Associated Pathways WP4595,1/24,0.0237393438664972,0.0785224450968755,45.66819221967963,170.827422984315,OTC
WikiPathways_2024_Human,One Carbon Metabolism WP241,1/29,0.0286172054274548,0.0878957023843255,37.50375939849624,133.2788782141628,MTHFD2
WikiPathways_2024_Human,Ovarian Infertility WP34,1/39,0.0383035595748703,0.1041903327905958,27.62049861495845,90.10393439678076,RAD51
WikiPathways_2024_Human,ATM Signaling WP2516,1/40,0.039267132268101,0.1041903327905958,26.910931174089068,87.12057233834933,RAD51
WikiPathways_2024_Human,DNA Replication WP466,1/42,0.0411915269172122,0.1041903327905958,25.59563543003851,81.63786025385905,MCM10
WikiPathways_2024_Human,DNA IR Double Strand Breaks And Cellular Response Via ATM WP3959,1/55,0.0536111215176,0.1249151846389571,19.42105263157895,56.82597555721978,RAD51
WikiPathways_2024_Human,RAC1 PAK1 P38 MMP2 Pathway WP3303,1/68,0.0658777916264093,0.1249151846389571,15.642576590730558,42.54708713186295,RAD51
WikiPathways_2024_Human,DNA Damage Response WP707,1/69,0.0668150987603724,0.1249151846389571,15.411764705882351,41.70155664670343,RAD51
WikiPathways_2024_Human,Folate Metabolism WP176,1/69,0.0668150987603724,0.1249151846389571,15.411764705882351,41.70155664670343,MTHFD2
WikiPathways_2024_Human,Trans Sulfuration One Carbon Metabolism And Related Pathways WP2525,1/69,0.0668150987603724,0.1249151846389571,15.411764705882351,41.70155664670343,MTHFD2
WikiPathways_2024_Human,miRNA Regulation Of DNA Damage Response WP1530,1/69,0.0668150987603724,0.1249151846389571,15.411764705882351,41.70155664670343,RAD51
WikiPathways_2024_Human,DNA IR Damage And Cellular Response Via ATR WP4016,1/81,0.0779933209779836,0.1386420008588948,13.092105263157896,33.39968978978988,RAD51
WikiPathways_2024_Human,Pancreatic Adenocarcinoma Pathway WP4263,1/89,0.0853746735440269,0.1386420008588948,11.897129186602871,29.27533461302574,RAD51
WikiPathways_2024_Human,Amino Acid Metabolism WP3925,1/91,0.0872112207421384,0.1386420008588948,11.63157894736842,28.37433281380585,OTC
WikiPathways_2024_Human,Metabolic Epileptic Disorders WP5355,1/92,0.0881281800641533,0.1386420008588948,11.50318102949682,27.94080032839929,OTC
WikiPathways_2024_Human,Cancer Pathways WP5434,2/507,0.0902785121871873,0.1386420008588948,4.284928492849285,10.304635169255452,RAD51;LPAR2
WikiPathways_2024_Human,Hippo Signaling Regulation WP4540,1/98,0.0936115860195749,0.138803386166956,10.788388497015736,25.553389086720664,CDH3
WikiPathways_2024_Human,NF1 Copy Number Variation Syndrome WP5366,1/104,0.0990636578243202,0.1419912428815257,10.15687276443536,23.4826149464007,RAD51
WikiPathways_2024_Human,HDAC6 Interactions In The Central Nervous System WP5426,1/112,0.1062846380154363,0.1474270785375407,9.421052631578949,21.11855678854484,ITIH4
WikiPathways_2024_Human,DNA Repair Pathways Full Network WP4946,1/120,0.1134506143347115,0.1478295883755331,8.784166298098187,19.117751070838278,RAD51
WikiPathways_2024_Human,Hippo Merlin Signaling Dysregulation WP4541,1/120,0.1134506143347115,0.1478295883755331,8.784166298098187,19.117751070838278,CDH3
