sample_id,phenotype,final_label,disease,tissue,subtype,confidence,matched_column,matched_keyword,annotation_status
GSM798481,Tumor,1,Cholangiocarcinoma,Liver,Inflammation,0.95,source_name_ch1,cholangiocarcinoma,Resolved
GSM798482,Tumor,1,Cholangiocarcinoma,Liver,Proliferation,0.95,source_name_ch1,cholangiocarcinoma,Resolved
GSM798483,Tumor,1,Cholangiocarcinoma,Liver,Proliferation,0.95,source_name_ch1,cholangiocarcinoma,Resolved
GSM798484,Tumor,1,Cholangiocarcinoma,Liver,Proliferation,0.95,source_name_ch1,cholangiocarcinoma,Resolved
GSM798485,Tumor,1,Cholangiocarcinoma,Liver,Proliferation,0.95,source_name_ch1,cholangiocarcinoma,Resolved
GSM798486,Tumor,1,Cholangiocarcinoma,Liver,Inflammation,0.95,source_name_ch1,cholangiocarcinoma,Resolved
GSM798487,Tumor,1,Cholangiocarcinoma,Liver,Inflammation,0.95,source_name_ch1,cholangiocarcinoma,Resolved
GSM798488,Tumor,1,Cholangiocarcinoma,Liver,Inflammation,0.95,source_name_ch1,cholangiocarcinoma,Resolved
GSM798489,Tumor,1,Cholangiocarcinoma,Liver,Inflammation,0.95,source_name_ch1,cholangiocarcinoma,Resolved
GSM798490,Tumor,1,Cholangiocarcinoma,Liver,Inflammation,0.95,source_name_ch1,cholangiocarcinoma,Resolved
GSM798491,Tumor,1,Cholangiocarcinoma,Liver,Inflammation,0.95,source_name_ch1,cholangiocarcinoma,Resolved
GSM798492,Tumor,1,Cholangiocarcinoma,Liver,Inflammation,0.95,source_name_ch1,cholangiocarcinoma,Resolved
GSM798493,Tumor,1,Cholangiocarcinoma,Liver,Inflammation,0.95,source_name_ch1,cholangiocarcinoma,Resolved
GSM798494,Tumor,1,Cholangiocarcinoma,Liver,Inflammation,0.95,source_name_ch1,cholangiocarcinoma,Resolved
GSM798495,Tumor,1,Cholangiocarcinoma,Liver,Inflammation,0.95,source_name_ch1,cholangiocarcinoma,Resolved
GSM798496,Tumor,1,Cholangiocarcinoma,Liver,Inflammation,0.95,source_name_ch1,cholangiocarcinoma,Resolved
GSM798497,Tumor,1,Cholangiocarcinoma,Liver,Inflammation,0.95,source_name_ch1,cholangiocarcinoma,Resolved
GSM798498,Tumor,1,Cholangiocarcinoma,Liver,Proliferation,0.95,source_name_ch1,cholangiocarcinoma,Resolved
GSM798499,Tumor,1,Cholangiocarcinoma,Liver,Proliferation,0.95,source_name_ch1,cholangiocarcinoma,Resolved
GSM798500,Tumor,1,Cholangiocarcinoma,Liver,Proliferation,0.95,source_name_ch1,cholangiocarcinoma,Resolved
GSM798501,Tumor,1,Cholangiocarcinoma,Liver,Proliferation,0.95,source_name_ch1,cholangiocarcinoma,Resolved
GSM798502,Tumor,1,Cholangiocarcinoma,Liver,Proliferation,0.95,source_name_ch1,cholangiocarcinoma,Resolved
GSM798503,Tumor,1,Cholangiocarcinoma,Liver,Proliferation,0.95,source_name_ch1,cholangiocarcinoma,Resolved
GSM798504,Tumor,1,Cholangiocarcinoma,Liver,Inflammation,0.95,source_name_ch1,cholangiocarcinoma,Resolved
GSM798505,Tumor,1,Cholangiocarcinoma,Liver,Proliferation,0.95,source_name_ch1,cholangiocarcinoma,Resolved
GSM798506,Tumor,1,Cholangiocarcinoma,Liver,Proliferation,0.95,source_name_ch1,cholangiocarcinoma,Resolved
GSM798507,Tumor,1,Cholangiocarcinoma,Liver,Inflammation,0.95,source_name_ch1,cholangiocarcinoma,Resolved
GSM798508,Tumor,1,Cholangiocarcinoma,Liver,Inflammation,0.95,source_name_ch1,cholangiocarcinoma,Resolved
GSM798509,Tumor,1,Cholangiocarcinoma,Liver,Inflammation,0.95,source_name_ch1,cholangiocarcinoma,Resolved
GSM798510,Tumor,1,Cholangiocarcinoma,Liver,Inflammation,0.95,source_name_ch1,cholangiocarcinoma,Resolved
GSM798511,Tumor,1,Cholangiocarcinoma,Liver,Inflammation,0.95,source_name_ch1,cholangiocarcinoma,Resolved
GSM798512,Tumor,1,Cholangiocarcinoma,Liver,Inflammation,0.95,source_name_ch1,cholangiocarcinoma,Resolved
GSM798513,Tumor,1,Cholangiocarcinoma,Liver,Inflammation,0.95,source_name_ch1,cholangiocarcinoma,Resolved
GSM798514,Tumor,1,Cholangiocarcinoma,Liver,Inflammation,0.95,source_name_ch1,cholangiocarcinoma,Resolved
GSM798515,Tumor,1,Cholangiocarcinoma,Liver,Inflammation,0.95,source_name_ch1,cholangiocarcinoma,Resolved
GSM798516,Tumor,1,Cholangiocarcinoma,Liver,Inflammation,0.95,source_name_ch1,cholangiocarcinoma,Resolved
GSM798517,Tumor,1,Cholangiocarcinoma,Liver,Inflammation,0.95,source_name_ch1,cholangiocarcinoma,Resolved
GSM798518,Tumor,1,Cholangiocarcinoma,Liver,Inflammation,0.95,source_name_ch1,cholangiocarcinoma,Resolved
GSM798519,Tumor,1,Cholangiocarcinoma,Liver,Inflammation,0.95,source_name_ch1,cholangiocarcinoma,Resolved
GSM798520,Tumor,1,Cholangiocarcinoma,Liver,Inflammation,0.95,source_name_ch1,cholangiocarcinoma,Resolved
GSM798521,Tumor,1,Cholangiocarcinoma,Liver,Inflammation,0.95,source_name_ch1,cholangiocarcinoma,Resolved
GSM798522,Tumor,1,Cholangiocarcinoma,Liver,Proliferation,0.95,source_name_ch1,cholangiocarcinoma,Resolved
GSM798523,Tumor,1,Cholangiocarcinoma,Liver,Proliferation,0.95,source_name_ch1,cholangiocarcinoma,Resolved
GSM798524,Tumor,1,Cholangiocarcinoma,Liver,Inflammation,0.95,source_name_ch1,cholangiocarcinoma,Resolved
GSM798525,Tumor,1,Cholangiocarcinoma,Liver,Proliferation,0.95,source_name_ch1,cholangiocarcinoma,Resolved
GSM798526,Tumor,1,Cholangiocarcinoma,Liver,Proliferation,0.95,source_name_ch1,cholangiocarcinoma,Resolved
GSM798527,Tumor,1,Cholangiocarcinoma,Liver,Inflammation,0.95,source_name_ch1,cholangiocarcinoma,Resolved
GSM798528,Tumor,1,Cholangiocarcinoma,Liver,Inflammation,0.95,source_name_ch1,cholangiocarcinoma,Resolved
GSM798529,Tumor,1,Cholangiocarcinoma,Liver,Inflammation,0.95,source_name_ch1,cholangiocarcinoma,Resolved
GSM798530,Tumor,1,Cholangiocarcinoma,Liver,Inflammation,0.95,source_name_ch1,cholangiocarcinoma,Resolved
GSM798531,Tumor,1,Cholangiocarcinoma,Liver,Inflammation,0.95,source_name_ch1,cholangiocarcinoma,Resolved
GSM798532,Tumor,1,Cholangiocarcinoma,Liver,Proliferation,0.95,source_name_ch1,cholangiocarcinoma,Resolved
GSM798533,Tumor,1,Cholangiocarcinoma,Liver,Proliferation,0.95,source_name_ch1,cholangiocarcinoma,Resolved
GSM798534,Tumor,1,Cholangiocarcinoma,Liver,Proliferation,0.95,source_name_ch1,cholangiocarcinoma,Resolved
GSM798535,Tumor,1,Cholangiocarcinoma,Liver,Proliferation,0.95,source_name_ch1,cholangiocarcinoma,Resolved
