gene_name,n_high,n_low,events_high,events_low,median_survival_high,median_survival_low,logrank_p_value
CDH3,17,17,4,14,inf,701.0,0.03141348543140927
ITIH4,17,17,12,6,627.0,1402.0,0.06336796934817214
MCF2L2,17,17,7,11,924.0,640.0,0.12656359286068672
LPAR2,17,17,8,10,1402.0,640.0,0.15046816569701285
POLQ,17,17,12,6,640.0,1402.0,0.16470053006515184
DGAT2,17,17,9,9,640.0,1220.0,0.29957273438377974
OTC,17,17,8,10,1220.0,701.0,0.3932040701490003
MED17,17,17,9,9,1402.0,741.0,0.40707063562821066
MTHFD2,17,17,7,11,741.0,924.0,0.4866522996436655
RAD51,17,17,12,6,924.0,inf,0.49622046503994066
PON1,17,17,10,8,741.0,1402.0,0.5608279811139112
SPA17,17,17,9,9,924.0,741.0,0.6748812210502451
MCM10,17,17,9,9,1220.0,741.0,0.7181221280465034
ITIH1,17,17,10,8,1220.0,701.0,0.7414911225526932
OSBPL3,17,17,8,10,1220.0,924.0,0.7424251336881135
PACC1,17,17,9,9,741.0,1402.0,0.7442970256278199
JADE2,17,17,9,9,924.0,1402.0,0.8215335612944727
DEPDC1B,17,17,11,7,1220.0,924.0,0.8821726861066795
SPDL1,17,17,9,9,741.0,1402.0,0.8935588417155054
USH2A,17,17,9,9,924.0,1402.0,0.9871430780479741
