rank,gene_name,importance
1,USH2A,0.07999999999999997
2,ITIH1,0.06999999999999995
3,DGAT2,0.06999999999999995
4,OTC,0.06599999999999998
5,JADE2,0.06399999999999999
6,MTHFD2,0.057999999999999996
7,PON1,0.057999999999999954
8,RAD51,0.05599999999999999
9,MCF2L2,0.052000000000000005
10,SPDL1,0.049999999999999996
11,POLQ,0.048
12,MCM10,0.047999999999999994
13,PACC1,0.04600000000000001
14,MED17,0.046
15,DEPDC1B,0.044
16,OSBPL3,0.04200000000000001
17,ITIH4,0.03599999999999997
18,LPAR2,0.026000000000000006
19,SPA17,0.024000000000000004
20,CDH3,0.016000000000000004
